Rank,NCTId,BriefTitle,Condition,OverallStatus,LeadSponsorClass,LeadSponsorName,InterventionName,InterventionType,Keyword
295,NCT04275414,Bevacizumab in Severe or Critical Patients With COVID-19 Pneumonia,Coronavirus Infections,Completed,OTHER,Qilu Hospital of Shandong University,Bevacizumab Injection,Drug,COVID-19|Bevacizumab|pneumonia
297,NCT04488081,I-SPY COVID-19 TRIAL: An Adaptive Platform Trial for Critically Ill Patients,COVID-19,Recruiting,OTHER,QuantumLeap Healthcare Collaborative,Remdesivir|Cenicriviroc|Icatibant|Razuprotafib|Apremilast,Drug|Drug|Drug|Drug|Drug,COVID-19|severe disease|Platform Trial
298,NCT04369469,Efficacy and Safety Study of IV Ravulizumab in Patients With COVID-19 Severe Pneumonia,"COVID-19 Severe Pneumonia|Acute Lung Injury|Acute Respiratory Distress Syndrome|Pneumonia, Viral",Recruiting,INDUSTRY,Alexion Pharmaceuticals,Ravulizumab|Best Supportive Care,Biological|Other,"acute lung injury|acute respiratory distress syndrome|antibodies, monoclonal, humanized|COVID-19|hospitalization|pneumonia|severe pneumonia|severe acute respiratory syndrome|severe acute respiratory syndrome coronavirus 2|randomized controlled study|ravulizumab|respiratory distress syndrome, adult|Ultomiris|viral"
299,NCT04371393,MSCs in COVID-19 ARDS,Mesenchymal Stromal Cells|Remestemcel-L|Acute Respiratory Distress Syndrome|COVID,Recruiting,OTHER,Icahn School of Medicine at Mount Sinai,Remestemcel-L|Placebo,Biological|Drug,mesenchymal stem cells|SARS-CoV-2|cytokine storm
300,NCT04362813,Study of Efficacy and Safety of Canakinumab Treatment for CRS in Participants With COVID-19-induced Pneumonia,Pneumonia and Cytokine Release Syndrome (Covid-19),Recruiting,INDUSTRY,Novartis Pharmaceuticals,Canakinumab|Placebo,Drug|Drug,COVID-19 pneumonia|cytokine release syndrome|SARS-CoV-2|canakinumab
301,NCT04349098,Evaluation of Activity and Safety of Oral Selinexor in Participants With Severe COVID-19 Infection,Coronavirus Infection,Recruiting,INDUSTRY,Karyopharm Therapeutics Inc,Selinexor|Placebo,Drug|Other,COVID-19|SARS-CoV-2
303,NCT04328961,Hydroxychloroquine for COVID-19 Post-exposure Prophylaxis (PEP),COVID-19|Corona Virus Infection|SARS (Severe Acute Respiratory Syndrome)|SARS-CoV-2,"Active, not recruiting",OTHER,University of Washington,Hydroxychloroquine Sulfate|Ascorbic Acid,Drug|Drug,novel coronavirus|post-exposure prophylaxis
304,NCT04468958,"Safety, Tolerability, and Pharmacokinetics of SAB-185 in Healthy Participants",COVID-19|SARS-CoV2,Recruiting,INDUSTRY,"SAb Biotherapeutics, Inc.",SAB-185|Normal saline,Biological|Other,
305,NCT04372186,A Study to Evaluate the Efficacy and Safety of Tocilizumab in Hospitalized Participants With COVID-19 Pneumonia,COVID-19 Pneumonia,"Active, not recruiting",INDUSTRY,"Genentech, Inc.",Placebo|Tocilizumab,Drug|Drug,
307,NCT04427501,A Study of LY3819253 (LY-CoV555) and LY3832479 (LY-CoV016) in Participants With Mild to Moderate COVID-19 Illness,COVID-19,Recruiting,INDUSTRY,Eli Lilly and Company,LY3819253|LY3832479|Placebo,Drug|Drug|Drug,
308,NCT04441047,Universal Anti-Viral Vaccine for Healthy Elderly Adults,Virus Diseases,Not yet recruiting,INDUSTRY,"Immunovative Therapies, Ltd.",AlloStim,Drug,vaccine|COVID-19|AlloStim
309,NCT04337359,Ruxolitinib Managed Access Program (MAP) for Patients Diagnosed With Severe/Very Severe COVID-19 Illness,Severe/Very Severe COVID-19 Illness,Available,INDUSTRY,Novartis Pharmaceuticals,Ruxolitinib,Drug,Corona Virus|Pneumonia|Virus|Covid-19|Covid
310,NCT04421027,A Study of Baricitinib (LY3009104) in Participants With COVID-19,COVID-19,Recruiting,INDUSTRY,Eli Lilly and Company,Baricitinib|Placebo,Drug|Drug,coronavirus|coronavirus infection|safety
311,NCT04320615,A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia,COVID-19 Pneumonia,Completed,INDUSTRY,Hoffmann-La Roche,Tocilizumab (TCZ)|Placebo,Drug|Drug,
312,NCT04452565,"NA-831, Atazanavir and Dexamethasone Combination Therapy for the Treatment of COVID-19 Infection",Coronavirus Infection|Severe Acute Respiratory Infection|Severe Acute Respiratory Syndrome Coronavirus 2,Recruiting,INDUSTRY,"NeuroActiva, Inc.",Drug: NA-831|NA-831 and Atazanavir|NA-831and Dexamethasone|Atazanavir and Dexamethasone,Drug|Combination Product|Combination Product|Combination Product,NA-831|Atazanavir|Dexamethasone|COVID-19|Coronavirus Infection|Severe Acute Respiratory Syndrome
314,NCT04396106,Safety and Efficacy of AT-527 in Subjects With Moderate Coronavirus Disease (COVID-19),COVID-19,Recruiting,INDUSTRY,"Atea Pharmaceuticals, Inc.",AT-527|Placebo,Drug|Other,
320,NCT04342897,A Study of LY3127804 in Participants With COVID-19,COVID-19|Pneumonia,"Active, not recruiting",INDUSTRY,Eli Lilly and Company,LY3127804|Placebo,Drug|Drug,Corona Virus Disease 19 (COVID-19)|2019 Novel Coronavirus (2019 n-COV)|Severe Acute Respiratory Syndrome (SARS)|Pulmonary Disease|SARS-CoV-2
321,NCT04411628,A Study of LY3819253 (LY-CoV555) in Participants Hospitalized for COVID-19,COVID-19,Completed,INDUSTRY,Eli Lilly and Company,LY3819253|Placebo,Drug|Drug,
322,NCT04355494,SOLIRIS® (Eculizumab) Treatment of Participants With COVID-19,"COVID-19|Pneumonia, Viral|Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)",Available,INDUSTRY,Alexion Pharmaceuticals,eculizumab,Biological,"acute lung injury|acute respiratory distress syndrome|antibodies, monoclonal, humanized|complement inhibition|COVID-19|eculizumab|emergency treatment|expanded access program|hospitalization|pneumonia|severe acute respiratory syndrome|severe acute respiratory syndrome coronavirus 2|severe pneumonia|Soliris|viral"
323,NCT04508023,"A Study of Rivaroxaban to Reduce the Risk of Major Venous and Arterial Thrombotic Events, Hospitalization and Death in Medically Ill Outpatients With Acute, Symptomatic Coronavirus Disease 2019 (COVID-19) Infection",Coronavirus Disease 2019 (COVID-19),Recruiting,INDUSTRY,"Janssen Research & Development, LLC",Rivaroxaban|Placebo|Standard of Care (SOC),Drug|Other|Other,
324,NCT04404361,PRE-VENT Study in Hospitalized Patients With Severe COVID-19 With or Without Cancer,COVID,Recruiting,INDUSTRY,CTI BioPharma,Pacritinib|Placebo,Drug|Drug,
328,NCT04402060,A Study of APL-9 in Adults With Mild to Moderate ARDS Due to COVID-19,COVID|Covid-19|Coronavirus|Coronavirus Infection|Severe Acute Respiratory Syndrome|Severe Acute Respiratory Syndrome Coronavirus 2|Sars-CoV2|Ards|Acute Respiratory Distress Syndrome,Recruiting,INDUSTRY,"Apellis Pharmaceuticals, Inc.",APL-9|Vehicle Control,Drug|Other,
329,NCT04418531,Convalescent Antibodies Infusion in COVID 19 Patients,"Pneumonia, Viral|Corona Virus Infection",Not yet recruiting,OTHER,Piero Luigi Ruggenenti,Anti-coronavirus antibodies (immunoglobulins) obtained with DFPP form convalescent patients,Biological,Pneumonia viral|COVID 19|Double-filtration plasmapheresis|Convalescent antibodies
331,NCT04427098,Enoxaparin in COVID-19 Moderate to Severe Hospitalized Patients,COVID-19,Recruiting,OTHER,Azienda Ospedaliera Universitaria di Bologna Policlinico S. Orsola Malpighi,Enoxaparin 40 Mg/0.4 mL Injectable Solution|Enoxaparin,Drug|Drug,
333,NCT04346355,Efficacy of Early Administration of Tocilizumab in COVID-19 Patients,COVID-19 Pneumonia,Terminated,OTHER_GOV,Azienda Unità Sanitaria Locale Reggio Emilia,Tocilizumab,Drug,
335,NCT04317092,Tocilizumab in COVID-19 Pneumonia (TOCIVID-19),COVID-19 Pneumonia,Recruiting,OTHER,"National Cancer Institute, Naples",Tocilizumab Injection,Drug,COVID-19|pneumonia|tocilizumab
338,NCT04393038,ABX464 in Treating Inflammation and Preventing Acute Respiratory Failure in Patients With COVID-19,COVID-19,Recruiting,INDUSTRY,Abivax S.A.,ABX464|Placebo,Drug|Drug,COVID-19|ABX464
339,NCT04346199,Acalabrutinib Study With Best Supportive Care Versus Best Supportive Care in Subjects Hospitalized With COVID-19.,COVID-19,Recruiting,INDUSTRY,AstraZeneca,Acalabrutinib,Drug,2019 novel coronavirus disease|Acalabrutinib|Btk inhibitor
341,NCT04438850,COVidIVERmectin: Ivermectin for Treatment of Covid-19,Covid19,Recruiting,OTHER,IRCCS Sacro Cuore Don Calabria di Negrar,Ivermectin|Placebo,Drug|Other,ivermectin
344,NCT04386616,A Study to Evaluate the Safety and Efficacy of MSTT1041A (Astegolimab) or UTTR1147A in Patients With Severe COVID-19 Pneumonia,COVID-19 Pneumonia,Recruiting,INDUSTRY,"Genentech, Inc.",MSTT1041A|MSTT1041A-matched Placebo|UTTR1147A|UTTR1147A-matched Placebo,Drug|Drug|Drug|Drug,
346,NCT04431453,"Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Efficacy of Remdesivir (GS-5734™) in Participants From Birth to < 18 Years of Age With Coronavirus Disease 2019 (COVID-19)",COVID-19,Recruiting,INDUSTRY,Gilead Sciences,Remdesivir,Drug,
347,NCT04373460,Convalescent Plasma to Limit SARS-CoV-2 Associated Complications,SARS-CoV 2,Recruiting,OTHER,Johns Hopkins University,SARS-CoV-2 convalescent plasma|Plasma from a volunteer donor,Biological|Biological,COVID-19
348,NCT04363736,A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia,COVID-19 Pneumonia,Completed,INDUSTRY,Hoffmann-La Roche,Tociliuzumab,Drug,
349,NCT04327388,Sarilumab COVID-19,Corona Virus Infection,Completed,INDUSTRY,Sanofi,Sarilumab SAR153191|Placebo,Drug|Drug,
350,NCT04323800,Convalescent Plasma to Stem Coronavirus (CSSC-001),Coronavirus|Convalescence,Recruiting,OTHER,Johns Hopkins University,Anti- SARS-CoV-2 Plasma|SARS-CoV-2 non-immune Plasma,Biological|Biological,COVID-19
351,NCT04332991,Outcomes Related to COVID-19 Treated With Hydroxychloroquine Among In-patients With Symptomatic Disease,Coronavirus|Acute Respiratory Infection|SARS-CoV Infection,Completed,OTHER,Massachusetts General Hospital,Hydroxychloroquine|Placebo,Drug|Drug,COVID-19
352,NCT04350593,Dapagliflozin in Respiratory Failure in Patients With COVID-19,COVID-19,Recruiting,OTHER,Saint Luke's Health System,Dapagliflozin 10 MG|Placebo,Drug|Drug,SGLT2i|dapagliflozin|COVID-19
354,NCT04492475,Adaptive COVID-19 Treatment Trial 3 (ACTT-3),COVID-19,Recruiting,NIH,National Institute of Allergy and Infectious Diseases (NIAID),Interferon beta-1a|Placebo|Remdesivir,Drug|Other|Drug,Adaptive|COVID-19|Efficacy|Multicenter|novel coronavirus|Safety
355,NCT04343651,Study to Evaluate the Efficacy and Safety of Leronlimab for Mild to Moderate COVID-19,Coronavirus Disease 2019,"Active, not recruiting",INDUSTRY,"CytoDyn, Inc.",Placebos|Leronlimab (700mg),Drug|Drug,COVID-19
357,NCT03398135,A Study to Assess the Efficacy and Safety of Risankizumab in Participants With Ulcerative Colitis Who Responded to Induction Treatment in M16-067 or M16-065,Ulcerative Colitis (UC),Recruiting,INDUSTRY,AbbVie,risankizumab|placebo for risankizumab,Drug|Drug,ABBV-066|BI 655066
359,NCT04354428,Treatment for COVID-19 in High-Risk Adult Outpatients,COVID-19|SARS-CoV-2,"Active, not recruiting",OTHER,University of Washington,Ascorbic Acid|Hydroxychloroquine Sulfate|Azithromycin|Folic Acid,Drug|Drug|Drug|Drug,Outpatient|Treatment
360,NCT03105102,A Study of the Efficacy and Safety of Risankizumab in Participants With Crohn's Disease,Crohn's Disease,Recruiting,INDUSTRY,AbbVie,Placebo for Risankizumab SC|Risankizumab IV|Placebo for Risankizumab IV|Risankizumab SC,Drug|Drug|Drug|Drug,risankizumab|ABBV-066|BI 655066
361,NCT03323463,Major De-escalation to 30 Gy for Select Human Papillomavirus Associated Oropharyngeal Carcinoma,HPV-Associated Oropharyngeal Squamous Cell Carcinoma|Squamous Cell Carcinoma of the Neck,Recruiting,OTHER,Memorial Sloan Kettering Cancer Center,F-FMISO PET/CT Scan|30 Gy over 3 weeks|Cisplatin|Carboplatin|5Fluorouracil|Proton Therapy,Diagnostic Test|Radiation|Drug|Drug|Drug|Radiation,squamous cell carcinoma of the neck of unknown primary|HPV-Associated Oropharyngeal Squamous Cell Carcinoma|Oropharyngeal Squamous Cell Carcinoma|17-409|Hypoxia negative|N1-2c oropharyngeal squamous cell carcinoma
365,NCT04497987,A Study of LY3819253 (LY-CoV555) in Preventing SARS-CoV-2 Infection and COVID-19 in Nursing Home Residents and Staff,COVID-19|SARS-CoV2,Recruiting,INDUSTRY,Eli Lilly and Company,LY3819253|Placebo,Drug|Drug,Prevention
367,NCT04539275,COVID-19 (VA CURES-1),COVID-19,Not yet recruiting,FED,VA Office of Research and Development,Convalescent Plasma|Masked Saline Placebo,Drug|Other,"2019 novel coronavirus disease|COVID-19 pandemic|COVID-19 virus infection|COVID-19 virus disease|Respiratory failure|Pneumonia, viral / therapy|Blood Component Transfusion|Severity of Illness Index|Survival Analysis|Treatment Outcome|Prospective Study|Humans|Adults|Male|Female|convalescent plasma|SARS CoV-2|COVID-19 convalescent plasma"
369,NCT04409509,Treatment With CSL312 in Adults With Coronavirus Disease 2019 (COVID-19),Coronavirus Disease 2019 (COVID-19),Recruiting,INDUSTRY,CSL Behring,"Garadacimab, Factor XIIa Antagonist Monoclonal Antibody|Placebo",Biological|Drug,Prevention of respiratory failure
370,NCT04540185,A Phase 3 Randomized Double Blind Efficacy and Safety Study of Oral Polio Vaccine and NA-831 for Covid-19,Covid19|SARS (Severe Acute Respiratory Syndrome)|SARS-CoV Infection|SARS-CoV-2,Enrolling by invitation,INDUSTRY,"NeuroActiva, Inc.",Biological: oral polio vaccine|Comparable Placebo|NA-831|Comparable Placebo of drug|Combination of oral polio vaccine and NA-831|Comparable Placebo of Oral Polio Vaccine and Placebo of drug,Biological|Biological|Drug|Drug|Combination Product|Combination Product,
371,NCT04347239,Study to Evaluate the Efficacy and Safety of Leronlimab for Patients With Severe or Critical Coronavirus Disease 2019 (COVID-19),Coronavirus Disease 2019,Recruiting,INDUSTRY,"CytoDyn, Inc.",Placebos|Leronlimab (700mg),Drug|Drug,COVID-19
372,NCT04409262,A Study to Evaluate the Efficacy and Safety of Remdesivir Plus Tocilizumab Compared With Remdesivir Plus Placebo in Hospitalized Participants With Severe COVID-19 Pneumonia,COVID-19 Pneumonia,Recruiting,INDUSTRY,Hoffmann-La Roche,Remdesivir|Tocilizumab|Placebo,Drug|Drug|Drug,
373,NCT04414618,A Study of Opaganib in Coronavirus Disease 2019 Pneumonia,Coronavirus Infections,Recruiting,INDUSTRY,RedHill Biopharma Limited,Opaganib|Placebo,Drug|Drug,
374,NCT03758235,Overactive Bladder Syndrome: Incobotulinumtoxin Versus Onabotulinumtoxin,Overactive Bladder Syndrome,"Active, not recruiting",OTHER,University Of Perugia,IncobotulinumtoxinA 100 UNT Injection [Xeomin]|OnabotulinumtoxinA 100 UNT [Botox],Drug|Drug,overactive bladder syndrome|botulinum toxin type A|onabotulinumtoxin/A|incobotulinumtoxin/A|treatment|neurogenic detrusor overactivity incontinence|urinary incontinence|urinary tract infections
375,NCT03684980,LTA Pilot Study of Glucarpidase in Patients With Central Nervous System Lymphoma - ARM A,Central Nervous System Lymphoma,Recruiting,OTHER,Memorial Sloan Kettering Cancer Center,Voraxaze|Methotrexate|Rituximab|leucovorin,Drug|Drug|Drug|Drug,"Voraxaze (glucarpidase)|B-cell non-Hodgkin""s lymphoma involving the brain|B-cell non-Hodgkin""s lymphoma involving spinal cord, and/or leptomeningeal space"
376,NCT04380961,A Study to Evaluate the Efficacy and Safety of Sirukumab in Confirmed Severe or Critical Confirmed Coronavirus Disease (COVID)-19,Severe or Critical Confirmed Coronavirus Disease (COVID)-19,Recruiting,INDUSTRY,"Janssen Pharmaceutica N.V., Belgium",Sirukumab|Placebo|Standard of Care (SOC),Drug|Drug|Other,
379,NCT03821402,Efficacy and Safety of DaxibotulinumtoxinA for Injection for the Treatment of Adult Upper Limb Spasticity,Upper Limb Spasticity,"Active, not recruiting",INDUSTRY,"Revance Therapeutics, Inc.",DAXI for injection dose LOW DOSE|DAXI for injection dose MEDIUM DOSE|DAXI for injection Dose HIGH DOSE|Placebo,Biological|Biological|Biological|Other,ULS|JUNIPER|DAXI for injection|Botulinum toxin
380,NCT04278404,"Pharmacokinetics, Pharmacodynamics, and Safety Profile of Understudied Drugs Administered to Children Per Standard of Care (POPS)",Coronavirus Infection (COVID-19)|Pulmonary Arterial Hypertension|Urinary Tract Infections in Children|Hypertension|Pain|Hyperphosphatemia|Primary Hyperaldosteronism|Edema|Hypokalemia|Heart Failure|Hemophilia|Menorrhagia|Insomnia|Pneumonia|Skin Infection|Arrythmia|Asthma in Children|Bronchopulmonary Dysplasia|Adrenal Insufficiency|Fibrinolysis; Hemorrhage|Attention Deficit Hyperactivity Disorder|Multisystem Inflammatory Syndrome in Children (MIS-C)|Kawasaki Disease|Coagulation Disorder|Down Syndrome,Recruiting,OTHER,Duke University,"The POP02 study is collecting bodily fluid samples (i.e., whole blood, effluent samples) of children prescribed the following drugs of interest per standard of care:",Drug,
382,NCT03013998,Study of Biomarker-Based Treatment of Acute Myeloid Leukemia,Previously Untreated Acute Myeloid Leukemia,Recruiting,OTHER,"Beat AML, LLC",Samalizumab (BAML-16-001-S1)|BI 836858 (BAML-16-001-S2)|Laboratory Biomarker Analysis|Daunorubicin (BAML-16-001-S1)|Cytarabine (BAML-16-001-S1)|Azacitidine (BAML-16-001-S2)|AG-221 (BAML-16-001-S3)|Azacitidine (BAML-16-001-S3)|Entospletinib (BAML-16-001-S4)|Azacitidine (BAML-16-001-S4)|Entospletinib (BAML-16-001-S5)|Decitabine (BAML-16-001-S5)|Entospletinib (BAML-16-001-S6)|Daunorubicin (BAML-16-001-S6)|Cytarabine (BAML-16-001-S6)|Pevonedistat (BAML-16-001-S9)|Azacitidine (BAML-16-001-S9)|AG-120 (BAML-16-001-S16)|Azacitidine (BAML-16-001-S16)|Gilteritinib (BAML-16-001-S8)|Decitabine (BAML-16-001-S8)|Acalabrutinib (BAML-16-001-COV1)|Standard Therapy (BAML-16-001-COV1)|AZD5153 (BAML-16-001-S10)|Venetoclax (BAML-16-001-S10)|TP-0903 (BAML-16-001-S14)|Decitabine (BAML-16-001-S14),Biological|Biological|Other|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Drug|Other|Drug|Drug|Drug|Drug,
383,NCT03474965,Study of Dose Confirmation and Safety of Crizanlizumab in Pediatric Sickle Cell Disease Patients,Sickle Cell Disease (SCD),Recruiting,INDUSTRY,Novartis Pharmaceuticals,Crizanlizumab,Drug,SEG101|Sickle cell disease|SCD|crizanlizumab|pediatric|pharmacokinetic|P-selectin|Covid-19|Coronavirus disease 2019
